Date,Price,Fuel (us gallons),Mileage,Full Tank
2016-12-14,21.06,9.16,291.0,1
2016-12-21,23.2,9.671,277.0,1
2016-12-30,24.58,10.248,304.0,1
2017-01-11,22.95,9.73,277.0,1
2017-01-23,8.21,3.48,276.0,0
2017-01-27,20.0,8.933,131.0,0
2017-02-04,20.0,9.095,255.0,0
2017-02-11,20.0,9.095,216.0,1
2017-02-21,20.0,8.624,314.0,0
2017-03-01,20.0,9.095,263.0,0
2017-03-08,18.75,8.723,232.0,1
2017-03-15,20.0,9.305,289.0,0
2017-03-23,20.0,9.307,283.0,1
2017-04-02,20.0,8.972,268.0,0
2017-04-10,20.0,8.854,297.0,0
2017-04-21,20.0,9.013,324.0,0
2017-05-01,20.0,9.013,285.0,1
2017-05-08,20.0,9.013,303.0,1
2017-05-15,20.0,9.013,321.0,0
2017-05-25,19.2,8.729,292.0,1
2017-06-06,21.5,8.743,300.0,1
2017-06-14,18.5,8.413,304.0,1
2017-06-29,20.0,9.095,361.0,0
2017-07-10,18.8,8.872,294.0,1
2017-07-19,20.0,9.438,349.0,0
2017-07-26,19.6,9.12,305.0,1
2017-08-11,20.0,8.699,346.0,1
2017-08-26,20.0,8.337,313.0,1
2017-09-02,20.0,7.411,286.0,1
2017-09-08,20.0,7.465,253.0,0
2017-09-10,20.0,7.302,244.0,0
2017-09-16,20.0,7.465,292.0,0
2017-09-23,20.0,7.465,279.0,0
2017-09-26,10.0,3.848,158.0,0
2017-10-04,20.0,7.795,186.0,1
2017-10-11,19.06,7.628,212.0,1
2017-10-24,20.0,7.908,331.0,0
2017-10-28,20.0,8.003,253.0,0
2017-11-04,20.0,8.003,213.0,0
2017-11-12,20.0,8.003,320.0,1
2017-11-18,20.0,8.003,207.0,0
2017-11-25,20.0,8.003,277.0,0
2017-12-03,20.0,8.003,208.0,0
2017-12-12,19.5,7.802,238.0,1
2017-12-17,19.7,7.727,215.0,1
2017-12-27,20.0,8.003,300.0,0
2018-01-06,20.0,8.003,201.0,0
2018-01-18,20.0,8.068,274.0,0
2018-01-25,10.0,3.923,232.0,0
2018-02-01,10.0,3.923,120.0,0
2018-02-03,18.55,7.421,65.0,1
2018-02-08,20.0,8.003,274.0,0
2018-02-15,20.0,8.003,194.0,0
2018-02-24,20.0,8.003,299.0,0
2018-02-28,20.0,8.003,234.0,0
2018-03-06,20.0,8.003,288.0,0
2018-03-12,10.0,4.066,143.0,0
2018-03-20,20.0,8.003,207.0,0
2018-03-25,20.0,7.816,255.0,0
2018-03-31,20.0,7.816,222.0,0
2018-04-13,10.0,3.76,251.0,0
2018-04-13,10.0,4.002,106.0,0
2018-04-21,10.0,4.848,134.0,0
